mim	is_phenotype	date_fetched	pmid_refs
104775	False	2025-03-21	9521588|16344553|8432545|1279693
105120	True	2025-03-19	8684801|228009|3513049|1322359|2162627|1311149|7836945|1333716|14409602|4163628|2153578|2176164|8395367|305513|4543600|33973672|26339870|1315718|33499149|6610849|6975851|31952544|11754099|1923356|4109360
105150	True	2025-03-19	3495457|1352269|6886625|3517880|3707586|7945009|9748011|6390199|4655034|3982473|3673496|2689007|20241165|2436360|637762|2900981|4056911|4056910|7396423|3475718|3551211
105200	True	2025-03-19	1138543|8097946|16011983|20962779|3912110|9389696|12050338|3317049|7344220|7124780|32929754|8464497|8113408|8639778|22693999|4728894|4470911
105210	True	2025-03-20	37624911|31209302|10541593|16009758|7794243|7844317|12978172|192115|29972757|6782125|1848299|12771253|23984729|8071954|4328329|4328330|7033114|279930|7018469|17200500|8100581|7839813|39213194|3479441|8960746|4443557|4102463|6375662|7417777|19365058|5089749|8857732|8064809|8097803|3229002|1685359|11261421|11940682|8778271|3032328|1351039|9017939|14404854|13593935|15249622|10468546|11552976|6691355|18022643|4884226|14477245|202208|9066351|15079068|14981241|1685700|6736244|11385707|14987380|15820680|3037905|34663645|3379433|10488818|2829057|3178532|8579098|2320592|4952599|2828557|31562191|20697105|1992765
105250	True	2025-03-19	18179886|7914213|6945068|993396|8757765|8752835|17107390|15656797|19690585|3970841|6724776|5057380|13976058|9111993|5430314|19663869
105400	True	2025-03-19	9817920|7229665|954772|5096760|7647793|23104007|17894379|19188595|15164063|31330533|22323753|16741123|11555629|12535368|15883330|6181766|15623718|14875225|13804989|18268245|16931506|11835381|20650960|32750315|9029070|10688913|8592323|8351519|18669821|12447931|17671248|13849712|19670447|10195181|20829229|18250315|9753713|11951178|911233|13708181|15322088|8209258|13710241|14675609|6018874|944398|7016254|7438491|1365052|8105280|12907804|14985749|18077368|8487280|20530642|15478096|14356347|18413368|12062019|19451621|10764647|20348957|19670443|9818932|17853944|824491|20616033|1639406|20577002|17164329|20368421|15326253|14349945|17023659|11343650|12060716|20460269|11160962|5843014|4434271|17455292|7887412|19864493|17486090|32733193|16581901|12354397|16476815|7846037|8446170|1349424|11386269|9753716|19628475|16291929|835533|7845611|8875253|2020294|10737125|18996918|15568021|1003176|17702029|4115557|19088126|15294873|5790363|8610185|17277077|19734901|16093455|2370562|20007902|19321847|7605627|20223753
105500	True	2025-03-19	8418664|6573137|16990532|17515539|7212649|6573136|3969206|3470778|19405049|16051700|13907609|22637429|10732812|11310628|7936240|5770171|11708997|19567404|3603037|18490618|8332906|17185385|2396931
105550	True	2025-03-19	24706941|23434116|22739338|20562461|23720273|22964911|21944778|23437264|24057670|24139042|4769153|26308899|22936364|23284068|24598541|23597494|24363131|11015796|22637429|28562589|27516603|25081482|20801718|19433740|22650353|21031579|18755042|17805587|32814898|23551834|22499346|25103406|21925771|23393093|16421333|25712133|21072532|26088964|1139787|32733193|23423380|21944779|12840784|22637471|22692064|22964910|17296840|24027057|23111906|19734901|22843265|16495328|26004200|25209579|23731538|26308891
105563	True	2025-03-20	1947952
105580	False	2025-03-21	3570551
