mim	is_phenotype	date_fetched	umls_ids	orphanet_ids
102600	False	2025-03-24	C0268120|C0268121|C1366623	
102610	False	2025-03-24	C1412136|C3711389|C4225181|C5830300|C5830333	
102620	False	2025-03-23	C1412137|C2673186|C3151201|C3279690	
102630	False	2025-03-21	C1384510|C1855722|C4015740|C5848323|C5882677|C5882760|C5882761|C5882762|C5882780	
102640	False	2025-03-25		
102642	False	2025-03-23	C1420304	
102645	False	2025-03-20	C1332101	
102650	False	2025-03-20	C0220660	973
102660	False	2025-03-25	C0334556	55881
102670	False	2025-03-24	C1416961	
102680	False	2025-03-24	C1412230|C3837651	
102681	False	2025-03-23	C1412231	
102699	False	2025-03-25	C3887914	
102700	True	2025-03-19	C0392607|C1863236	277
102710	False	2025-03-21		
102720	False	2025-03-21	C1414141	
102730	False	2025-03-25		
102750	False	2025-06-15	C1412243|C4706555	
102770	False	2025-03-24	C1412387|C3714933	
102771	False	2025-03-23	C1412388|C3810295|C4014354	
102772	False	2025-03-23	C1412389|C2752073	
102775	False	2025-03-23	C1412245	
102776	False	2025-03-24	C1412246	
102777	False	2025-03-20		
102800	False	2025-03-21		
102900	True	2025-03-19	C1863224	
102910	False	2025-03-20	C1412653|C5774237	
102920	False	2025-03-20		
102930	False	2025-03-20		
102940	False	2025-03-24		
102970	False	2025-03-24		
102980	False	2025-03-24	C1412228	
102981	False	2025-03-23	C1412229	
102990	False	2025-03-23		
103000	False	2025-03-24	C1412305|C2675459	
103020	False	2025-03-20	C0272167|C1412306	
103030	False	2025-03-24	C1424944	
103050	True	2025-03-25	C0268126	46
103060	False	2025-03-24	C1412263	
103070	False	2025-03-23	C1412227	
103071	False	2025-03-21	C1412221	
103072	False	2025-03-21	C1412220|C1857809	
103100	False	2025-03-21	C0001519|C0040416	454718
103180	False	2025-03-24	C1412504|C4748602	
103188	False	2025-03-23	C1412510	
103190	False	2025-03-21	C1412506	
103195	False	2025-03-21	C1412234	
103200	False	2025-03-24	C0001529	36397
103220	False	2025-06-15	C1335833|C1836460|C3809443|C4310676	
103230	False	2025-03-24	C0271740	85138
103260	False	2025-09-08	C1414571	
103270	False	2025-03-23	C1414575|C4521678|C5935635	
103275	False	2025-03-23	C1412244	
103280	False	2025-03-25	C1333887	
103285	True	2025-03-19	C1863204	978
103300	False	2025-03-21	C1863203	989
103320	False	2025-03-24	C1412285|C3808739	
103321	False	2025-03-23		
103390	False	2025-03-25	C1412295	
103400	False	2025-03-21	C0001860	
103420	False	2025-03-20	C4310836	91416
103470	False	2025-03-21		
103500	True	2025-03-19	C0391816	42665
103580	True	2025-08-17	C3494506	79443
103581	False	2025-03-23		
103600	False	2025-03-21	C0342185|C1412332|C3889597|C3889611|C3889612|C3889616|C3889620|C3890042|C3890935|C3890936|C3890937|C3890938|C3890939|C3891296|C3891297|C3891299|C3892051|C3892052|C3892053|C3892054|C3892055|C4015743|C4015744|C4015745|C4015746|C4015747|C4015748|C4015749|C4015750|C4015751|C4015752|C4015753|C4015754|C4015755|C4015756|C4015757|C4015758|C4015759|C4015760|C4015761|C4015762|C4015763|C4015764|C4015765|C4015766|C4015767|C4015768|C4015769|C4015770|C4015771|C4015772|C4015773|C4015774|C4015775|C4015776|C4017710|C5193230|C5543652|C5543653|C5543654|C5543740	
103700	False	2025-03-20	C1412235	
103710	False	2025-03-23	C1412239|C5436906	
103720	False	2025-03-24	C1412236|C2751719|C3887915	
103730	False	2025-03-23	C1412237|C2751719|C4015777	
103735	False	2025-03-21	C1412241	
103740	False	2025-03-21	C1412238	
103780	True	2025-03-19	C0001973	
103800	False	2025-03-21		
103830	False	2025-03-21	C1412321	
103850	False	2025-03-25	C0272066|C1412344	
103870	False	2025-03-20	C1412348	
103880	False	2025-03-21	C1412322	
103890	False	2025-03-21		
103900	True	2025-03-19	C3838731	403
103920	False	2025-03-20	C3278302	1164
103950	False	2025-03-21	C1412046|C4015778	
104000	False	2025-03-25	C0263505|C1863094	700|701
104100	True	2025-03-19	C4304669	1010
104110	False	2025-03-21	C1863092	
104130	False	2025-03-25	C1863090	1008
104145	False	2025-03-21	C1412275	
104150	False	2025-03-20	C1367597|C1863080|C1863081	
104155	False	2025-08-24	C0752122|C1412611|C4015779|C5882763	
104160	False	2025-03-25	C1414965|C3887964|C4693949|C4693950	
104170	False	2025-03-24	C1417592|C1836522|C1836544|C5437471	
104175	False	2025-03-20	C1415056	
104180	False	2025-03-23	C1414966	
104200	True	2025-03-19	C5882663	63|88918
104210	False	2025-03-23	C1332028|C5882744	
104219	False	2025-03-20	C1412260	
104220	False	2025-03-20	C1332027	
104221	False	2025-03-21	C1332026	
104222	False	2025-03-20		
